alamat_lengkap,kabkota,kecamatan,desa,partai,Suara_PKS,Ranking_PKS,Juara,Suara_Juara,Zona,Multiplier_2029,Target_PKS_2029,Gap_Menuju_Juara_2029,latitude,longitude
"DEGONG, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,DEGONG,PKS,4,7,PKB,164,Merah,1.6,50,114,0.7666667,103.5333333
"LEBUH, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,LEBUH,PKS,38,6,Golkar,138,Merah,1.6,61,77,0.7739643,103.5379072
"PENARAH, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,PENARAH,PKS,24,9,PDIP,185,Merah,1.6,50,135,0.8121807,103.5277857
"SEBELE, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,SEBELE,PKS,36,6,PKB,138,Merah,1.6,58,80,0.8297149,103.4800805
"SEI ASAM, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,SEI ASAM,PKS,23,7,Golkar,334,Merah,1.6,50,284,0.865987542,103.4435105
"TEBIAS, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,TEBIAS,PKS,101,2,PKB,112,Hijau,1.15,116,-4,0.8405556,103.4352778
"BURU, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,BURU,PKS,37,9,Gerindra,294,Merah,1.6,59,235,0.8759922,103.5032081
"LUBUK PUDING, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,LUBUK PUDING,PKS,47,9,PKB,325,Merah,1.6,75,250,0.8875578,103.511882
"TANJUNG BATU KECIL, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,TANJUNG BATU KECIL,PKS,55,6,Golkar,171,Merah,1.6,88,83,0.9040513,103.4453969
"TANJUNG HUTAN, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,TANJUNG HUTAN,PKS,35,6,Golkar,326,Merah,1.6,56,270,0.8715015,103.4627375
"SANGLAR, DURAI, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,DURAI,SANGLAR,PKS,140,2,Golkar,283,Hijau,1.15,161,122,0.5795886,103.7694692
